Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018,Ramon Sessions,PG,31,NYK,8,131,9.8,0.45,0.231,0.385,0.9,9.9,5.6,26.3,2.7,0.7,20.8,19.2,-0.1,0.1,0,0.015,-3.4,-0.2,-3.6,-0.1
2018,Iman Shumpert,SG,27,CLE,13,271,6.9,0.487,0.439,0.263,3,13.3,8.4,8.4,1.6,1.6,21.1,13.2,-0.2,0.2,0,-0.002,-3.3,0.1,-3.2,-0.1
2018,Pascal Siakam,PF,23,TOR,20,423,14.8,0.552,0.336,0.141,5.4,18.8,12.3,11.8,2,1.9,11.7,16.1,0.5,0.6,1,0.117,0.6,1.9,2.5,0.5
2018,Ben Simmons,PG,21,PHI,21,751,19.5,0.522,0.026,0.383,7.1,20,13.6,31.7,2.8,2,17.8,24.1,0.7,1.3,2,0.126,0.6,3.9,4.5,1.2
2018,Jonathon Simmons,SG,28,ORL,23,601,13.6,0.572,0.241,0.407,3,8.7,5.9,11,1.3,0.3,14.5,23.9,0.5,0.1,0.5,0.043,-0.7,-2.6,-3.3,-0.2
2018,Kobi Simmons,PG,20,MEM,1,5,13.8,1,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0.166,2,-4.2,-2.2,0
2018,Kyle Singler,SF,29,OKC,1,2,42.5,1,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0.353,9.8,-7.2,2.6,0
2018,Marcus Smart,SG,23,BOS,22,676,10.7,0.443,0.491,0.304,3.5,11.5,7.6,25.8,2,1.4,16.8,19.2,-0.2,1.2,1,0.069,-1.6,1.8,0.2,0.4
2018,Dennis Smith,PG,20,DAL,21,591,11.2,0.464,0.341,0.152,3,12.6,7.6,27.1,1.4,1.1,16.8,29.4,-1.1,0.5,-0.6,-0.048,-2.6,-0.4,-3,-0.2
2018,Ish Smith,PG,29,DET,22,436,16.6,0.521,0.104,0.137,1.5,11.6,6.4,33.3,0.9,1.2,11.4,22,0.7,0.3,1,0.116,-0.3,-1.3,-1.6,0
2018,J.R. Smith,SG,32,CLE,23,715,8,0.518,0.71,0.077,1.2,9.2,5.3,8.8,1.7,0.1,10.8,13.1,0.2,0.3,0.5,0.031,-0.1,-1.1,-1.2,0.1
2018,Jason Smith,C,31,WAS,8,76,5.1,0.392,0.52,0.28,8.9,8.7,8.8,1.8,0,5.6,9.7,17.9,-0.1,0.1,0,-0.01,-4.6,-0.8,-5.4,-0.1
2018,Josh Smith,PF,32,NOP,3,12,3.6,0.25,0,0,28.4,8.9,18.3,0,0,0,0,14.5,0,0,0,-0.017,-6,-7.5,-13.5,0
2018,Tony Snell,SG,26,MIL,21,669,11.1,0.678,0.586,0.125,0.7,7.3,4,7.8,1.1,1.1,8.2,10.1,1.1,0.3,1.4,0.101,1.4,-1.4,0,0.3
2018,Marreese Speights,C,30,ORL,17,204,18.8,0.59,0.698,0.103,3.8,17.9,11,6.6,0.9,1.9,6.2,27.4,0.3,0.1,0.4,0.103,3.5,-4.4,-0.9,0.1
2018,Nik Stauskas,SG,24,PHI,5,37,5.4,0.515,0,0.667,0,2.8,1.4,3.3,5.1,0,34,6.6,0,0.1,0,0.035,-4.8,3.4,-1.4,0
2018,Lance Stephenson,SG,27,IND,23,491,12.4,0.506,0.299,0.262,4.8,20.9,13,16.7,1.3,0.7,15.7,19.3,0.1,0.4,0.5,0.049,-1.4,0,-1.5,0.1
2018,Julyan Stone,SG,29,CHO,2,18,14.6,0.75,1,0,0,29.5,14.8,16.6,5.4,0,33.3,14.5,0,0,0,0.129,0.1,4.2,4.4,0
2018,Caleb Swanigan,PF,20,POR,13,128,7,0.405,0.125,0.325,10.4,20.1,15.3,10.4,1.5,1.9,19.4,19.3,-0.2,0.2,0,0.004,-5.9,1.6,-4.3,-0.1
2018,Jayson Tatum,SF,19,BOS,24,727,17.2,0.636,0.321,0.403,3.2,15.7,9.6,7.9,1.6,2.4,11.3,17.9,1.6,1.4,2.9,0.194,1,2.2,3.2,1
2018,Isaiah Taylor,PG,23,ATL,15,241,12.4,0.545,0.247,0.329,0.5,8.1,4.2,21,1.6,1.5,16.1,18.1,0.2,0.1,0.2,0.046,-2.2,-2,-4.2,-0.1
2018,Jeff Teague,PG,29,MIN,19,644,15.5,0.544,0.329,0.305,1.2,9.5,5.3,32.9,2.5,1.1,20.4,20.6,0.7,0.4,1.1,0.08,1.1,-1.2,-0.1,0.3
2018,Mirza Teletovic,PF,32,MIL,10,159,14,0.623,0.789,0,2.2,15,8.6,9.7,1.3,0.6,10.9,18.5,0.2,0.1,0.3,0.097,2.1,-3.3,-1.2,0
2018,Garrett Temple,SG,31,SAC,22,574,10.1,0.533,0.53,0.171,1,10.3,5.4,9.2,2.1,1.8,13.3,15.9,0,0.3,0.3,0.027,-1.1,-0.5,-1.6,0.1
2018,Milos Teodosic,PG,30,LAC,2,32,8.7,0.458,0.583,0,0,3.5,1.7,37.8,0,2.7,20,20.4,0,0,0,-0.01,-3.2,-7.2,-10.4,-0.1
2018,Jason Terry,SG,40,MIL,9,99,5.1,0.364,0.647,0.118,0,9.6,4.8,8,3,2.7,18.3,10.2,-0.2,0.1,0,-0.022,-5.1,1,-4,-0.1
2018,Daniel Theis,C,25,BOS,22,272,14.7,0.618,0.176,0.324,12.8,22.9,18,5.2,1.7,5.2,25.1,16.9,0.2,0.7,0.8,0.146,-2.8,3.7,0.9,0.2
2018,Lance Thomas,PF,29,NYK,18,262,6.2,0.496,0.39,0.288,5.4,14.5,10.1,3.6,0.8,0,14.2,12.9,0,0.2,0.2,0.03,-2.6,-1.2,-3.7,-0.1
2018,Klay Thompson,SG,27,GSW,23,761,18.4,0.62,0.462,0.065,1.8,11.6,7.1,11.3,0.9,1.9,8.4,23.5,1.6,0.7,2.3,0.143,3.1,-2.2,1,0.6
2018,Tristan Thompson,C,26,CLE,8,173,10.1,0.567,0,0.423,11.6,21.5,16.7,2.3,0.3,2,16.3,9.4,0.2,0.1,0.3,0.08,-2.5,-1,-3.5,-0.1
2018,Sindarius Thornwell,SG,23,LAC,21,339,8.2,0.554,0.325,0.312,2.6,4,3.3,6,2,1.8,15.4,13.3,0.1,0.1,0.3,0.037,-1.8,-0.8,-2.6,-0.1
2018,Anthony Tolliver,PF,32,DET,19,340,13.5,0.597,0.804,0.293,4.2,13.8,8.9,7.8,1.5,1.5,9.6,14.8,0.6,0.3,1,0.134,1.8,0,1.8,0.3
2018,Karl-Anthony Towns,C,22,MIN,23,791,22.6,0.619,0.246,0.293,9.3,29.9,19.5,7.2,0.8,3.2,11.2,23.8,2.3,0.7,3,0.183,2.5,-0.6,1.9,0.8
2018,P.J. Tucker,SF,32,HOU,21,578,9.5,0.573,0.714,0.2,5.3,18.9,12.1,4.7,2.3,0.9,16.8,10.3,0.4,0.9,1.3,0.107,-0.9,2.3,1.5,0.5
2018,Evan Turner,SF,29,POR,23,605,8.2,0.458,0.227,0.21,1.8,14.3,8.2,12.9,1.3,1.3,15.8,16.9,-0.5,0.9,0.4,0.035,-4.1,1.5,-2.6,-0.1
2018,Myles Turner,C,21,IND,16,467,17.2,0.564,0.221,0.243,3.9,24.6,14.3,6.3,0.4,7,10.3,20.9,0.5,0.6,1.1,0.111,-1.8,1.6,-0.2,0.2
2018,Ekpe Udoh,C,30,UTA,23,348,13.7,0.52,0,0.426,9.6,8.9,9.2,11.6,2.2,8.5,15.2,8.5,0.5,0.6,1.1,0.158,-1.3,6.5,5.3,0.6
2018,Tyler Ulis,PG,22,PHO,23,522,9.7,0.457,0.196,0.24,1,7.3,4.1,24.5,2.3,0.1,18.5,19.1,-0.4,0.2,-0.2,-0.021,-3.2,-2.4,-5.7,-0.5
2018,Jonas Valanciunas,C,25,TOR,17,345,18.9,0.615,0.039,0.297,12.8,26.6,19.9,5.8,0.6,2.4,15.7,22,0.7,0.4,1.2,0.163,-0.5,-0.5,-1,0.1
2018,Denzel Valentine,SG,24,CHI,21,611,11.7,0.498,0.561,0.029,2.6,17.9,9.9,17.3,1.5,0.3,8.8,16.4,0.3,0.4,0.7,0.052,-0.6,-0.3,-1,0.2
2018,Fred VanVleet,PG,23,TOR,21,341,14.4,0.503,0.398,0.161,1.4,10.2,5.9,25.1,2.6,1,11.9,18.5,0.4,0.4,0.8,0.114,0.5,-0.1,0.4,0.2
2018,Rashad Vaughn,SG,21,MIL,10,66,11.4,0.548,0.571,0,0,5.4,2.7,9,1.5,2.7,4.5,15.3,0.1,0,0.1,0.069,-0.9,-2.9,-3.8,0
2018,Noah Vonleh,PF,22,POR,16,355,13,0.59,0,0.339,9,29.3,19.3,3.7,0.7,2.3,13.4,10.1,0.5,0.7,1.1,0.155,-2.9,2,-1,0.1
2018,Nikola Vucevic,C,27,ORL,23,681,18.8,0.549,0.297,0.106,5.4,25,15.4,16.5,1.5,2.3,10.7,23.8,0.8,0.6,1.4,0.102,1,0.9,1.9,0.7
2018,Dwyane Wade,SG,36,CLE,22,517,16.9,0.508,0.119,0.294,3.4,14.4,9.1,25.8,2.2,3.5,15.2,24.8,0.3,0.5,0.8,0.074,-1.8,1,-0.8,0.2
2018,Dion Waiters,SG,26,MIA,20,627,11,0.491,0.433,0.137,1.4,7.9,4.7,20.9,1.3,0.6,14.7,26.6,-0.6,0.5,-0.1,-0.007,-1.9,-1.6,-3.5,-0.2
2018,Kemba Walker,PG,27,CHO,19,668,21.4,0.579,0.392,0.376,1.9,9.5,5.8,30.8,0.9,0.6,10.3,26.5,2.1,0.4,2.5,0.177,5.4,-1.6,3.8,1
2018,John Wall,PG,27,WAS,16,550,21.7,0.532,0.234,0.438,1.2,9.6,5.5,43.6,1.5,2.8,13.6,28.1,1.2,0.6,1.8,0.159,3.3,-0.1,3.1,0.7
2018,Taurean Waller-Prince,SF,23,ATL,22,676,11.5,0.518,0.345,0.123,3.3,15.4,9.3,11.5,2,1.6,16.4,20.6,-0.4,0.5,0.1,0.007,-2.1,0.2,-1.9,0
2018,Derrick Walton,PG,22,MIA,4,12,7.3,0.258,0.333,0.667,0,18.3,9.2,0,4.1,6.8,0,14.5,0,0,0,-0.029,-10.6,3.2,-7.4,0
2018,T.J. Warren,SF,24,PHO,24,746,18.6,0.532,0.094,0.263,6.8,12.8,9.7,6.7,1.4,2.1,6.7,24.5,1.1,0.3,1.5,0.093,0.1,-2,-1.9,0
2018,Briante Weber,PG,25,HOU,3,12,3.4,,,,0,18.5,9.3,10.3,4,0,100,3.6,0,0,0,0.021,-7.3,5.9,-1.4,0
2018,David West,C,37,GSW,21,249,25.2,0.687,0.067,0.189,8.3,20.8,15.1,20.1,2.5,7.6,19.1,20.8,0.7,0.5,1.2,0.234,2.1,4.6,6.7,0.6
2018,Russell Westbrook,PG,29,OKC,21,743,21.3,0.497,0.298,0.347,4.9,25.3,14.7,47.8,3.1,0.3,17.9,33,0.6,1.4,2,0.128,3,3.1,6.1,1.5
